"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight","offer_disclaimer","offer_disclaimer_url","video[0].url","video[0].tag[0]","gtin","product_tags[0]","product_tags[1]","style[0]"
"accord-s","ACCORD - S","Modern geometric design for the stylish traveler Available here in S size.","in stock","new","700.00 EGP","https://natonat.com/en/product/accord","https://natonat.com/octopus%20photo/ACCORD/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","accord","unisex","Black & White","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"accord-m","ACCORD - M","Modern geometric design for the stylish traveler Available here in M size.","in stock","new","750.00 EGP","https://natonat.com/en/product/accord","https://natonat.com/octopus%20photo/ACCORD/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","accord","unisex","Black & White","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"accord-l","ACCORD - L","Modern geometric design for the stylish traveler Available here in L size.","in stock","new","800.00 EGP","https://natonat.com/en/product/accord","https://natonat.com/octopus%20photo/ACCORD/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","accord","unisex","Black & White","L","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"accord-xl","ACCORD - XL","Modern geometric design for the stylish traveler Available here in XL size.","in stock","new","850.00 EGP","https://natonat.com/en/product/accord","https://natonat.com/octopus%20photo/ACCORD/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","accord","unisex","Black & White","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"anara-s","Anara - S","Beautiful floral pattern to brighten your journey Available here in S size.","in stock","new","750.00 EGP","https://natonat.com/en/product/anara","https://natonat.com/octopus%20photo/Anara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","anara","female","Blue & Gold","S","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"anara-m","Anara - M","Beautiful floral pattern to brighten your journey Available here in M size.","in stock","new","800.00 EGP","https://natonat.com/en/product/anara","https://natonat.com/octopus%20photo/Anara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","anara","female","Blue & Gold","M","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"anara-l","Anara - L","Beautiful floral pattern to brighten your journey Available here in L size.","in stock","new","850.00 EGP","https://natonat.com/en/product/anara","https://natonat.com/octopus%20photo/Anara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","anara","female","Blue & Gold","L","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"anara-xl","Anara - XL","Beautiful floral pattern to brighten your journey Available here in XL size.","in stock","new","900.00 EGP","https://natonat.com/en/product/anara","https://natonat.com/octopus%20photo/Anara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","anara","female","Blue & Gold","XL","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"ascend-s","Ascend - S","Bold abstract design for artistic souls Available here in S size.","in stock","new","800.00 EGP","https://natonat.com/en/product/ascend","https://natonat.com/octopus%20photo/Ascend/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","ascend","unisex","Blue","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"ascend-m","Ascend - M","Bold abstract design for artistic souls Available here in M size.","in stock","new","850.00 EGP","https://natonat.com/en/product/ascend","https://natonat.com/octopus%20photo/Ascend/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","ascend","unisex","Blue","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
